year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
2014,650000,68000,Diesel,Individual,Manual,First Owner,22.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2012,350000,40000,Petrol,Individual,Manual,Third Owner,,,,,
2016,950000,60000,Diesel,Individual,Manual,First Owner,21.0,1498 CC,98.0,200Nm@ 1750rpm,7.0
2015,580000,110000,Diesel,Individual,Manual,Second Owner,13.0,2499 CC,72.0,171Nm@ 1800rpm,10.0
2019,640000,10000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,113.75nm@ 4000rpm,5.0
2014,800000,80000,Diesel,Individual,Automatic,First Owner,11.0,2179 CC,120.0,290Nm@ 1800-2800rpm,8.0
2011,347000,30000,Petrol,Individual,Manual,First Owner,19.0,998 CC,66.0,90Nm@ 3500rpm,5.0
2014,1000000,120000,Diesel,Individual,Manual,Third Owner,15.0,2179 CC,140.0,330Nm@ 1600-2800rpm,7.0
2016,300000,35000,Petrol,Individual,Manual,First Owner,21.0,814 CC,55.0,74.5Nm@ 4000rpm,5.0
2017,493000,40000,Petrol,Individual,Manual,First Owner,20.0,1199 CC,84.0,114Nm@ 3500rpm,5.0
2014,370000,60000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2008,250000,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.0,1248 CC,73.0,190Nm@ 2000rpm,5.0
2017,300000,20000,Petrol,Individual,Manual,First Owner,22.0,999 CC,67.0,91Nm@ 4250rpm,5.0
2017,450000,40000,Petrol,Individual,Automatic,First Owner,24.0,999 CC,67.0,91Nm@ 4250rpm,5.0
2010,185000,124316,Diesel,Dealer,Manual,Second Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2019,1225000,6544,Diesel,Individual,Manual,First Owner,20.0,1497 CC,115.0,300Nm@ 1500-2500rpm,5.0
2015,1000000,50000,Diesel,Individual,Manual,First Owner,12.0,2494 CC,100.0,200Nm@ 1200-3600rpm,8.0
2016,600000,10000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
2018,1100000,50000,Diesel,Individual,Manual,First Owner,15.0,2179 CC,152.0,360Nm@ 1750-2800rpm,7.0
2015,360000,30000,Petrol,Individual,Manual,Second Owner,18.0,1197 CC,81.0,113.75Nm@ 4000rpm,5.0
2012,285000,69000,Petrol,Individual,Manual,First Owner,17.0,1298 CC,85.0,114Nm@ 4000rpm,5.0
2016,350000,49600,Diesel,Individual,Manual,Second Owner,25.0,1198 CC,77.0,190Nm@ 1750-2250rpm,6.0
2008,130000,30000,Petrol,Individual,Manual,Second Owner,19.0,1086 CC,68.0,99.04Nm@ 4500rpm,5.0
2016,500000,198000,Diesel,Individual,Manual,First Owner,18.0,1248 CC,73.0,172.5Nm@ 1750rpm,8.0
2010,350000,80000,Petrol,Individual,Manual,First Owner,17.0,1197 CC,80.0,"11.4 kgm at 4,000 rpm",5.0
2019,685000,19000,Petrol,Individual,Automatic,First Owner,21.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2020,399000,5000,CNG,Individual,Manual,First Owner,21.0,1196 CC,61.0,85Nm@ 3000rpm,5.0
2017,525000,10000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,113.75nm@ 4000rpm,5.0
2017,765000,40000,Petrol,Individual,Manual,First Owner,17.0,1373 CC,91.0,130Nm@ 4000rpm,7.0
2012,450000,97000,Diesel,Individual,Manual,Third Owner,22.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
1999,78000,80000,Diesel,Individual,Manual,Third Owner,,,,,
2014,390000,30000,Petrol,Individual,Manual,First Owner,19.0,1198 CC,67.0,104Nm@ 4000rpm,5.0
2017,940000,120000,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2013,650000,120000,Diesel,Individual,Manual,Second Owner,19.0,1461 CC,108.0,248Nm@ 2250rpm,5.0
2012,320000,103994,Diesel,Individual,Manual,Fourth & Above Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2003,145000,70000,Petrol,Individual,Manual,Second Owner,13.0,1794 CC,125.0,"16.1@ 4,200(kgm@ rpm)",5.0
2017,670000,70000,Diesel,Individual,Manual,First Owner,25.0,1498 CC,99.0,215Nm@ 1750-3000rpm,5.0
2011,350000,115000,Diesel,Individual,Manual,Fourth & Above Owner,21.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2012,285000,178000,Diesel,Individual,Manual,Second Owner,22.0,1248 CC,74.0,190Nm@ 1750-3000rpm,5.0
2011,300000,40000,Petrol,Individual,Manual,Third Owner,19.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2011,300000,80000,Diesel,Individual,Manual,First Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2009,810000,98000,Diesel,Individual,Automatic,Fourth & Above Owner,12.0,2967 CC,241.0,550Nm@ 1750-2750rpm,7.0
2009,90000,118000,Diesel,Individual,Manual,Second Owner,16.0,1405 CC,62.0,"12.5@ 2,500(kgm@ rpm)",5.0
2004,100000,100000,Petrol,Individual,Manual,Second Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2009,90000,120000,Diesel,Individual,Manual,Second Owner,17.0,1396 CC,52.0,85Nm@ 2500rpm,5.0
2013,459999,120000,Diesel,Individual,Manual,Second Owner,13.0,2609 CC,115.0,277.5Nm@ 1700-2200rpm,5.0
2009,525000,217000,Diesel,Individual,Manual,Fourth & Above Owner,12.0,2494 CC,102.0,20.4@ 1400-3400(kgm@ rpm),8.0
2011,250000,65000,Petrol,Individual,Manual,Second Owner,18.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2012,300000,41000,Petrol,Individual,Manual,Second Owner,20.0,1197 CC,78.0,111.8Nm@ 4000rpm,5.0
2005,130000,120000,Petrol,Individual,Manual,Second Owner,16.0,1298 CC,88.0,"11.5@ 4,500(kgm@ rpm)",5.0
2011,199000,70000,Petrol,Individual,Manual,Third Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2012,545000,90000,Diesel,Individual,Manual,Second Owner,20.0,1461 CC,83.0,200Nm@ 1900rpm,5.0
2014,570000,80000,Diesel,Individual,Manual,Second Owner,20.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2006,150000,120000,Petrol,Individual,Manual,Second Owner,16.0,1497 CC,100.0,"13.5@ 4,800(kgm@ rpm)",5.0
2009,114999,100000,Petrol,Individual,Manual,First Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2018,450000,35000,Petrol,Individual,Manual,First Owner,20.0,1199 CC,84.0,114Nm@ 3500rpm,5.0
2019,600000,5000,Petrol,Individual,Manual,First Owner,20.0,999 CC,72.0,96Nm@ 3500rpm,7.0
2016,610000,110000,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2017,690000,20000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
2018,790000,15000,Petrol,Individual,Manual,First Owner,17.0,1198 CC,108.0,170Nm@ 1750-4000rpm,5.0
2014,254999,40000,Petrol,Individual,Manual,Second Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2016,500000,41000,Petrol,Individual,Manual,First Owner,18.0,1199 CC,88.0,110Nm@ 4800rpm,5.0
2011,340000,100000,Diesel,Individual,Manual,Second Owner,13.0,2523 CC,63.0,180 Nm at 1440-1500rpm,7.0
2007,245000,110000,Diesel,Individual,Manual,Third Owner,13.0,2523 CC,63.0,180 Nm at 1440-1500rpm,7.0
2012,340000,120000,Diesel,Individual,Manual,Third Owner,17.0,1399 CC,67.0,160Nm@ 2000rpm,5.0
2008,221000,35008,Petrol,Dealer,Manual,First Owner,21.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2017,270000,31100,Petrol,Dealer,Manual,First Owner,22.0,799 CC,53.0,72Nm@ 4386rpm,5.0
2014,455000,42312,Diesel,Dealer,Manual,First Owner,24.0,1120 CC,71.0,180.4Nm@ 1750-2500rpm,5.0
2011,300000,72000,Petrol,Dealer,Manual,First Owner,17.0,1496 CC,88.0,132Nm@ 3000rpm,5.0
2014,480000,54891,Diesel,Dealer,Manual,First Owner,23.0,1364 CC,67.0,170Nm@ 1800-2400rpm,5.0
2018,1000000,30000,Diesel,Individual,Automatic,First Owner,22.0,1582 CC,126.0,259.87nm@ 1500-3000rpm,5.0
2017,2600000,44000,Diesel,Dealer,Automatic,First Owner,22.0,1995 CC,190.0,400Nm@ 1750-2750rpm,5.0
2017,1850000,18890,Diesel,Dealer,Automatic,First Owner,11.0,2755 CC,171.0,360Nm@ 1200-3400rpm,7.0
2013,1000000,75010,Diesel,Dealer,Automatic,First Owner,13.0,1995 CC,148.0,320Nm@ 2000rpm,5.0
2012,245000,100000,Diesel,Dealer,Manual,First Owner,23.0,1461 CC,63.0,160Nm@ 2000rpm,5.0
2019,625000,4337,Petrol,Dealer,Automatic,First Owner,18.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2018,560000,14495,Petrol,Dealer,Manual,First Owner,18.0,999 CC,75.0,95Nm@ 3000-4300rpm,5.0
2018,1475000,24000,Diesel,Dealer,Manual,First Owner,15.0,2179 CC,152.0,360Nm@ 1750-2800rpm,7.0
2010,425000,83585,Diesel,Dealer,Manual,First Owner,21.0,1364 CC,87.0,205Nm@ 1800-2800rpm,5.0
2014,550000,31000,Petrol,Dealer,Automatic,Second Owner,17.0,1197 CC,103.0,175Nm@ 1500-4100rpm,5.0
2016,1475000,100000,Diesel,Dealer,Manual,First Owner,13.0,2393 CC,147.0,343Nm@ 1400-2800rpm,7.0
2017,750000,48406,Diesel,Dealer,Manual,First Owner,19.0,1461 CC,83.0,200Nm@ 1750rpm,5.0
2016,570000,56239,Diesel,Dealer,Manual,First Owner,22.0,1396 CC,88.0,219.7Nm@ 1500-2750rpm,5.0
2015,585000,33243,Petrol,Dealer,Manual,First Owner,21.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2016,600000,26000,Petrol,Dealer,Automatic,First Owner,19.0,1199 CC,88.0,110Nm@ 4800rpm,5.0
2012,415000,90000,Diesel,Individual,Manual,First Owner,,,,,
2016,530000,120000,Petrol,Individual,Manual,Second Owner,17.0,1197 CC,81.0,114.73Nm@ 4000rpm,5.0
2016,540000,38000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
2013,180000,60000,Petrol,Individual,Manual,First Owner,21.0,814 CC,55.0,74.5Nm@ 4000rpm,5.0
2014,450000,30000,Petrol,Individual,Manual,First Owner,19.0,1197 CC,85.0,114Nm@ 4000rpm,5.0
2015,200000,50000,Petrol,Individual,Manual,First Owner,18.0,1199 CC,76.0,106.5Nm@ 4400rpm,5.0
2017,425000,42000,Petrol,Individual,Manual,First Owner,23.0,1199 CC,84.0,114Nm@ 3500rpm,5.0
2016,400000,30000,Petrol,Individual,Manual,First Owner,18.0,1199 CC,82.0,108.5Nm@ 5000rpm,5.0
2005,150000,15858,Petrol,Individual,Manual,First Owner,13.0,1299 CC,70.0,"10.7@ 2,500(kgm@ rpm)",5.0
2017,310000,15000,Petrol,Individual,Manual,First Owner,24.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2014,500000,50000,Diesel,Individual,Manual,First Owner,13.0,2499 CC,72.0,171Nm@ 1800rpm,9.0
2013,200000,60000,Diesel,Individual,Manual,Second Owner,25.0,936 CC,57.0,150Nm@ 1750rpm,5.0
2018,900000,35000,Diesel,Individual,Manual,First Owner,21.0,1461 CC,83.0,200Nm@ 1900rpm,7.0
2000,75000,90000,Diesel,Individual,Manual,Second Owner,12.0,1489 CC,35.0,72.9Nm@ 2250rpm,5.0
2015,400000,50000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,83.0,113Nm@ 4200rpm,5.0
2015,650000,110000,Diesel,Individual,Manual,First Owner,24.0,1498 CC,98.0,200Nm@ 1750rpm,7.0
2015,480000,87847,Diesel,Dealer,Manual,First Owner,28.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2009,140000,35000,Petrol,Individual,Manual,First Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2018,550000,5000,Petrol,Individual,Manual,First Owner,22.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2017,380000,29000,Petrol,Individual,Automatic,First Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2016,440000,20000,Diesel,Individual,Manual,First Owner,19.0,1405 CC,69.0,135Nm@ 2500rpm,5.0
2018,630000,15000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2017,250000,40000,Petrol,Individual,Manual,First Owner,25.0,799 CC,53.0,72Nm@ 4386rpm,5.0
2009,120000,17000,Petrol,Individual,Manual,First Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2012,287000,120000,Diesel,Individual,Manual,First Owner,21.0,1248 CC,88.0,200Nm@ 1750-3000rpm,5.0
2016,550000,45000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2016,950000,60000,Diesel,Individual,Manual,Third Owner,15.0,1997 CC,120.0,280Nm@ 1800-2800rpm,7.0
2019,1630000,25000,Diesel,Individual,Manual,First Owner,17.0,1956 CC,138.0,350Nm@ 1750-2500rpm,5.0
2015,501000,80000,Diesel,Individual,Manual,Second Owner,25.0,1498 CC,89.0,204Nm@ 2000-2750rpm,5.0
2014,550000,70000,Diesel,Individual,Manual,First Owner,15.0,2523 CC,62.0,195Nm@ 1400-2200rpm,7.0
2016,300000,25000,Petrol,Individual,Manual,First Owner,22.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2015,300000,50000,Petrol,Individual,Manual,Third Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2012,280000,100000,Diesel,Individual,Manual,Second Owner,,,,,
2015,416000,40000,Petrol,Individual,Automatic,First Owner,17.0,1499 CC,110.0,136Nm@ 4250rpm,5.0
2018,260000,30000,Petrol,Individual,Manual,First Owner,16.0,796 CC,34.0,59Nm@ 2500rpm,8.0
2016,550000,15000,Petrol,Individual,Manual,First Owner,18.0,1199 CC,82.0,108.5Nm@ 5000rpm,5.0
2012,700000,100000,Diesel,Individual,Manual,Second Owner,15.0,2179 CC,140.0,330Nm@ 1600-2800rpm,7.0
2011,181000,70000,Petrol,Individual,Manual,First Owner,15.0,1193 CC,64.0,100Nm@ 2700rpm,5.0
2009,365000,110000,Diesel,Individual,Automatic,Second Owner,11.0,2179 CC,120.0,290Nm@ 1800-2800rpm,8.0
2006,150000,9558,Petrol,Individual,Manual,First Owner,,,,,
2017,400000,10000,Petrol,Individual,Automatic,First Owner,23.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2010,210000,110000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,78.0,111.8Nm@ 4000rpm,5.0
2013,500000,87000,Diesel,Individual,Manual,Second Owner,22.0,1582 CC,126.0,259.8Nm@ 1900-2750rpm,5.0
2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,13.0,1999 CC,177.0,430Nm@ 1750-2500rpm,5.0
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.0,2487 CC,214.0,202Nm@ 3600-5200rpm,5.0
2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.0,1999 CC,177.0,430Nm@ 1750-2500rpm,5.0
2015,503000,110000,Diesel,Individual,Manual,First Owner,14.0,2179 CC,147.0,320Nm@ 1500-3000rpm,7.0
2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969 CC,190.0,400Nm,5.0
2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494 CC,157.0,213Nm@ 4500rpm,5.0
2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.0,1199 CC,88.0,110Nm@ 4800rpm,5.0
2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.0,2494 CC,100.0,200Nm@ 1200-3600rpm,7.0
2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.0,1496 CC,88.0,132Nm@ 3000rpm,5.0
2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186 CC,73.0,190.24nm@ 1750-2250rpm,5.0
2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995 CC,190.0,400Nm@ 1750-2500rpm,5.0
2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995 CC,190.0,400Nm@ 1750-2500rpm,5.0
2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199 CC,88.0,110Nm@ 4800rpm,5.0
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.0,1598 CC,103.0,153Nm@ 3800rpm,5.0
2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.0,1984 CC,150.0,350Nm@ 1500-2750rpm,5.0
2017,735000,70000,Diesel,Individual,Manual,First Owner,27.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2017,550000,120000,Petrol,Individual,Manual,First Owner,17.0,1193 CC,88.0,140Nm@ 1500-4000rpm,5.0
2013,509999,148000,Diesel,Individual,Manual,First Owner,20.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2013,459999,60000,Diesel,Individual,Manual,Second Owner,21.0,1396 CC,88.0,219.6Nm@ 1500-2750rpm,5.0
2015,310000,18000,Petrol,Individual,Manual,First Owner,22.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2018,775000,80000,Diesel,Individual,Manual,First Owner,22.0,1248 CC,74.0,190Nm@ 1750-3000rpm,5.0
2004,105000,96000,Petrol,Individual,Manual,Third Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2015,430000,97000,Diesel,Individual,Manual,Second Owner,25.0,1498 CC,98.0,200Nm@ 1750rpm,5.0
2013,360000,210000,Diesel,Individual,Manual,Third Owner,21.0,1396 CC,88.0,219.6Nm@ 1750-2750rpm,5.0
2012,400000,60000,Diesel,Individual,Manual,Third Owner,20.0,1598 CC,105.0,250Nm@ 1500-2500rpm,5.0
2014,600000,90000,Diesel,Individual,Manual,First Owner,23.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2019,580000,35000,Petrol,Individual,Manual,First Owner,17.0,1199 CC,88.0,110Nm@ 4800rpm,5.0
2012,140000,120000,Diesel,Individual,Manual,Second Owner,21.0,1461 CC,65.0,160Nm@ 2000rpm,5.0
2008,210000,100000,Diesel,Individual,Manual,First Owner,19.0,1405 CC,70.0,135.4Nm@ 2500,5.0
2017,550000,20000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2013,120000,110000,Petrol,Individual,Manual,Second Owner,18.0,1199 CC,84.0,113Nm@ 5000rpm,5.0
2013,400000,35000,Diesel,Individual,Manual,First Owner,12.0,2494 CC,100.0,200Nm@ 1400-3400rpm,7.0
2018,1035000,15000,Diesel,Individual,Manual,First Owner,25.0,1498 CC,98.0,200Nm@ 1750rpm,5.0
2015,625000,90000,Diesel,Individual,Manual,First Owner,26.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2008,200000,40000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,78.0,111.7Nm@ 4000rpm,5.0
2013,316000,140000,Diesel,Individual,Manual,First Owner,21.0,1248 CC,88.0,200Nm@ 1750-3000rpm,5.0
2017,813000,110000,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2016,1575000,55000,Diesel,Individual,Automatic,First Owner,11.0,2755 CC,171.0,360Nm@ 1200-3400rpm,7.0
2013,900000,73000,Diesel,Individual,Manual,First Owner,12.0,2494 CC,100.0,200Nm@ 1400-3400rpm,8.0
2015,650000,100000,Diesel,Individual,Manual,First Owner,20.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2015,459999,32000,Diesel,Individual,Manual,Second Owner,25.0,1498 CC,99.0,215Nm@ 1750-3000rpm,5.0
2012,290000,112072,Diesel,Individual,Manual,First Owner,21.0,1461 CC,84.0,200Nm@ 2000rpm,5.0
2014,400000,30000,Diesel,Individual,Manual,First Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2016,565000,70000,Diesel,Individual,Manual,Second Owner,25.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2011,2150000,50000,Diesel,Individual,Manual,Second Owner,,,,,
2009,150000,80000,Petrol,Individual,Manual,Second Owner,18.0,995 CC,62.0,90.3Nm@ 4200rpm,5.0
2007,480000,110000,Diesel,Individual,Automatic,Fourth & Above Owner,16.0,1995 CC,181.0,380Nm@ 1750-3000rpm,5.0
2007,70000,80000,Petrol,Individual,Manual,Second Owner,18.0,1061 CC,64.0,84Nm@ 3500rpm,5.0
2007,70000,80000,Petrol,Individual,Manual,Second Owner,18.0,1061 CC,64.0,84Nm@ 3500rpm,5.0
2011,1190000,80000,Petrol,Individual,Automatic,Second Owner,10.0,2497 CC,204.0,245Nm@ 5000rpm,5.0
2006,140000,100000,Petrol,Individual,Manual,Second Owner,,,,,
2018,900000,19000,Diesel,Individual,Manual,First Owner,23.0,1498 CC,98.0,205Nm@ 1750-3250rpm,5.0
2015,600000,40000,Diesel,Individual,Manual,First Owner,22.0,1396 CC,88.0,219.7Nm@ 1500-2750rpm,5.0
2015,1100000,52269,Diesel,Individual,Manual,First Owner,15.0,2179 CC,120.0,280Nm@ 1800-2800rpm,7.0
2010,120000,170000,LPG,Individual,Manual,Second Owner,10.0,796 CC,32.0,57Nm@ 2500rpm,5.0
2009,120000,140000,Petrol,Individual,Manual,First Owner,,,,,
2010,120000,170000,Petrol,Individual,Manual,Second Owner,,,,,
2009,229999,60000,Petrol,Individual,Manual,Third Owner,18.0,1197 CC,80.0,"11.4 kgm at 4,000 rpm",5.0
2017,570000,15780,Petrol,Individual,Manual,First Owner,17.0,1198 CC,86.0,109Nm@ 4500rpm,5.0
2014,575000,106000,Diesel,Individual,Manual,First Owner,22.0,1582 CC,126.0,259.8Nm@ 1900-2750rpm,5.0
2012,280000,80000,Diesel,Individual,Manual,Third Owner,20.0,1598 CC,103.0,250Nm@ 1500-2500rpm,5.0
2015,580000,74000,Diesel,Individual,Manual,Second Owner,21.0,1396 CC,88.0,219.66nm@ 1500-2750rpm,5.0
2018,875000,35000,Diesel,Individual,Manual,Second Owner,25.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2013,500000,70000,Diesel,Individual,Manual,Third Owner,22.0,1582 CC,126.0,259.8Nm@ 1900-2750rpm,5.0
2015,700000,60000,Diesel,Individual,Manual,First Owner,26.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2016,388000,50000,Petrol,Individual,Manual,Second Owner,18.0,1196 CC,86.0,112Nm@ 4000rpm,5.0
2011,225000,80000,Petrol,Individual,Manual,Second Owner,20.0,1197 CC,78.0,111.8Nm@ 4000rpm,5.0
2011,90000,90000,Petrol,Individual,Manual,Second Owner,15.0,1193 CC,64.0,100Nm@ 2700rpm,5.0
2014,600000,114000,Diesel,Individual,Manual,First Owner,19.0,1461 CC,108.0,248Nm@ 2250rpm,5.0
2009,235000,100000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,80.0,"11.4 kgm at 4,000 rpm",5.0
2011,350000,100000,Diesel,Individual,Manual,Second Owner,23.0,1396 CC,90.0,22.4 kgm at 1750-2750rpm,5.0
2011,235000,80000,Petrol,Individual,Manual,Second Owner,20.0,1197 CC,78.0,111.8Nm@ 4000rpm,5.0
2010,190000,35000,Petrol,Individual,Manual,First Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2011,325000,79000,Diesel,Individual,Manual,First Owner,21.0,1248 CC,88.0,200Nm@ 1750-3000rpm,5.0
2007,550000,2360457,Petrol,Individual,Manual,Second Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
2011,300000,120000,Diesel,Individual,Manual,Third Owner,20.0,1598 CC,103.0,250Nm@ 1500-2500rpm,5.0
2017,550000,10000,Petrol,Individual,Manual,First Owner,20.0,1199 CC,84.0,114Nm@ 3500rpm,5.0
2013,720000,150000,Diesel,Individual,Manual,Second Owner,15.0,2179 CC,140.0,330Nm@ 1600-2800rpm,7.0
2011,110000,110000,Petrol,Individual,Manual,First Owner,18.0,1198 CC,75.0,104Nm@ 4000rpm,5.0
2018,310000,10000,Petrol,Individual,Manual,First Owner,24.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2010,150000,70000,LPG,Individual,Manual,Second Owner,26.0,998 CC,58.0,77Nm@ 3500rpm,5.0
2012,260000,46000,Diesel,Individual,Manual,First Owner,19.0,1405 CC,70.0,135.4Nm@ 2500rpm,5.0
2002,55000,120000,Petrol,Individual,Manual,Fourth & Above Owner,13.0,1495 CC,94.0,"12.5@ 3,500(kgm@ rpm)",5.0
2013,450000,108800,Diesel,Individual,Manual,Third Owner,22.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2009,199000,70000,Petrol,Individual,Manual,Second Owner,20.0,1197 CC,78.0,111.8Nm@ 4000rpm,5.0
2018,1000000,35000,Diesel,Individual,Manual,First Owner,15.0,2523 CC,75.0,200Nm@ 1400-2200rpm,7.0
2011,240000,72000,Diesel,Individual,Manual,First Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2018,350000,40000,Petrol,Individual,Manual,First Owner,25.0,799 CC,53.0,72Nm@ 4386rpm,5.0
2014,530000,120000,Diesel,Individual,Manual,Third Owner,15.0,2523 CC,62.0,195Nm@ 1400-2200rpm,7.0
2011,150000,35000,Petrol,Individual,Manual,First Owner,18.0,995 CC,62.0,90.3Nm@ 4200rpm,5.0
2019,625000,12500,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,117nm@ 4000rpm,5.0
2014,378000,80000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2015,210000,210000,Petrol,Individual,Manual,Second Owner,25.0,799 CC,53.0,72Nm@ 4386rpm,5.0
2018,700000,100000,Diesel,Individual,Manual,Second Owner,28.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2011,156000,110000,Petrol,Individual,Manual,Second Owner,17.0,1086 CC,62.0,96.1Nm@ 3000rpm,5.0
2016,700000,103000,Diesel,Individual,Manual,First Owner,16.0,1493 CC,70.0,195Nm@ 1400-2200rpm,7.0
2010,194000,577414,Petrol,Individual,Manual,Second Owner,18.0,1061 CC,67.0,84Nm@ 3500rpm,5.0
2006,120000,100000,Petrol,Individual,Manual,Second Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2015,415000,45000,Petrol,Individual,Automatic,First Owner,15.0,1198 CC,86.0,109Nm@ 4500rpm,5.0
2015,450000,45000,Petrol,Individual,Automatic,First Owner,15.0,1198 CC,86.0,109Nm@ 4500rpm,5.0
2014,325000,40000,Petrol,Individual,Manual,Third Owner,19.0,1198 CC,86.0,109Nm@ 4500rpm,5.0
2014,525000,200000,Diesel,Individual,Manual,First Owner,15.0,2523 CC,62.0,195Nm@ 1440-2200rpm,9.0
2017,265000,100000,Petrol,Individual,Manual,First Owner,21.0,814 CC,55.0,74.5Nm@ 4000rpm,5.0
